Vernr;Bokföringsdatum;Registreringsdatum;Konto;Benämning;Ks;Projnr;Verifikationstext;Transaktionsinfo;Debet;Kredit
A884;2023-09-06;2023-09-08;7694;Reglementerat funktionärstack;ADM2;;Anmodade LKG;;130;
A884;2023-09-06;2023-09-08;7694;Reglementerat funktionärstack;ADM2;;Anmodade LKG;;1430;
A884;2023-09-06;2023-09-08;7695;Arbetskostnad;SAN1;;Anmodade LKG;;130;
A884;2023-09-06;2023-09-08;7694;Reglementerat funktionärstack;SEX1;;Anmodade LKG;;650;
A884;2023-09-06;2023-09-08;6070;Representaion;SEX1;;Anmodade LKG;;390;
A884;2023-09-06;2023-09-08;7694;Reglementerat funktionärstack;STU1;;Anmodade LKG;;260;
A884;2023-09-06;2023-09-08;7694;Reglementerat funktionärstack;ADM2;;Anmodade LKG;;780;
A884;2023-09-06;2023-09-08;7694;Reglementerat funktionärstack;ADM2;;Anmodade LKG;;260;
A885;2023-07-03;2023-09-08;1943;Bank sexmästeriet;;;8,31397E+13;;7000;
A885;2023-07-03;2023-09-08;1941;Bank F;;;8,31397E+13;;;7000
A886;2023-08-14;2023-09-08;1943;Bank sexmästeriet;;;8,31397E+13;;;210
A886;2023-08-14;2023-09-08;1941;Bank F;;;8,31397E+13;;210;
A887;2023-08-16;2023-09-08;1943;Bank sexmästeriet;;;8,31397E+13;;22000;
A887;2023-08-16;2023-09-08;1941;Bank F;;;8,31397E+13;;;22000
A888;2023-08-17;2023-09-08;1943;Bank sexmästeriet;;;8,31397E+13;;5000;
A888;2023-08-17;2023-09-08;1941;Bank F;;;8,31397E+13;;;5000
A889;2023-08-22;2023-09-08;1943;Bank sexmästeriet;;;8,31397E+13;;45000;
A889;2023-08-22;2023-09-08;1941;Bank F;;;8,31397E+13;;;45000
A890;2023-08-28;2023-09-08;1943;Bank sexmästeriet;;;8,31397E+13;;5000;
A890;2023-08-28;2023-09-08;1941;Bank F;;;8,31397E+13;;;5000
A891;2023-08-29;2023-09-08;1943;Bank sexmästeriet;;;8,31397E+13;;26000;
A891;2023-08-29;2023-09-08;1941;Bank F;;;8,31397E+13;;;26000
A892;2023-09-11;2023-09-11;1941;Bank F;;;SING Jobbarmat;;;125
A892;2023-09-11;2023-09-11;4311;Inköp mat;NOL1;;SING Jobbarmat;;125;
A893;2023-09-11;2023-09-11;1941;Bank F;;;SING Komp-handli;;;119,5
A893;2023-09-11;2023-09-11;4311;Inköp mat;NOL1;;SING Komp-handli;;119,5;
A894;2023-09-11;2023-09-11;1941;Bank F;;;SING Jobbarmat;;;47,7
A894;2023-09-11;2023-09-11;4311;Inköp mat;NOL1;;SING Jobbarmat;;47,7;
A895;2023-09-11;2023-09-11;1941;Bank F;;;SING Komp-handli;;;414,3
A895;2023-09-11;2023-09-11;4311;Inköp mat;NOL1;;SING Komp-handli;;414,3;
A896;2023-09-11;2023-09-11;1941;Bank F;;;SING Jobbarmat;;;1145
A896;2023-09-11;2023-09-11;4311;Inköp mat;NOL1;;SING Jobbarmat;;1145;
A897;2023-09-11;2023-09-11;1941;Bank F;;;Faddergruppsmat;;;488,38
A897;2023-09-11;2023-09-11;4311;Inköp mat;NOL1;;Faddergruppsmat;;488,38;
A898;2023-09-11;2023-09-20;1943;Bank sexmästeriet;;;Tillstånd SING;;;1400
A898;2023-09-11;2023-09-20;6950;Avgift till myndighet;NOL1;;Tillstånd SING;;1400;
A899;2023-09-11;2023-09-20;1943;Bank sexmästeriet;;;Tillstånd Stortorgssittning;;;1400
A899;2023-09-11;2023-09-20;6950;Avgift till myndighet;NOL1;;Tillstånd Stortorgssittning;;1400;
A900;2023-09-11;2023-09-11;1941;Bank F;;;Ovvelekar Grillk;;;199,5
A900;2023-09-11;2023-09-11;4311;Inköp mat;NOL1;;Ovvelekar Grillk;;199,5;
A901;2023-08-22;2023-09-11;1943;Bank sexmästeriet;;;Systembolaget K6612;;;1422
A901;2023-08-22;2023-09-11;4311;Inköp mat;SEX1;;Systembolaget K6612;;1422;
A902;2023-08-22;2023-09-11;1943;Bank sexmästeriet;;;Systembolaget K6612;;;14066,8
A902;2023-08-22;2023-09-11;4312;Inköp Måltidsdryck;SEX1;;Systembolaget K6612;;14066,8;
A903;2023-09-11;2023-09-11;1941;Bank F;;;Faddergruppsmat;;;581,73
A903;2023-09-11;2023-09-11;4311;Inköp mat;NOL1;;Faddergruppsmat;;581,73;
A904;2023-09-11;2023-09-11;1941;Bank F;;;Föset Outfit;;;129
A904;2023-09-11;2023-09-11;5480;Arbetskläder;NOL1;;Föset Outfit;;129;
A905;2023-09-11;2023-09-11;1941;Bank F;;;Färg;;;418
A905;2023-09-11;2023-09-11;5460;Förbrukningsmaterial;NOL1;;Färg;;418;
A906;2023-08-25;2023-09-11;1943;Bank sexmästeriet;;;WILLYS LUND K6612;;;736,2
A906;2023-08-25;2023-09-11;4311;Inköp mat;SEX1;;WILLYS LUND K6612;;736,2;
A907;2023-09-11;2023-09-11;1941;Bank F;;;Färg;;;2312
A907;2023-09-11;2023-09-11;5460;Förbrukningsmaterial;NOL1;;Färg;;2312;
A908;2023-09-11;2023-09-11;1941;Bank F;;;Faddergruppsmat;;;575
A908;2023-09-11;2023-09-11;4311;Inköp mat;NOL1;;Faddergruppsmat;;575;
A909;2023-09-05;2023-09-11;1946;Bank nollning;NOL1;;ICA SUPERMARKET FALADS K4673;;;29,9
A909;2023-09-05;2023-09-11;4311;Inköp mat;NOL1;;ICA SUPERMARKET FALADS K4673;;29,9;
A910;2023-08-25;2023-09-11;1943;Bank sexmästeriet;;;PIZZERIA GOTT OCH NARA K9173;;;1885
A910;2023-08-25;2023-09-11;7695;Arbetskostnad;SEX1;;PIZZERIA GOTT OCH NARA K9173;;1885;
A911;2023-09-04;2023-10-02;1946;Bank nollning;NOL1;;Systembolaget K4673;;;9447,2
A911;2023-09-04;2023-10-02;4412;Inköp pubdryck;NOL1;;Systembolaget K4673;;9447,2;
A912;2023-08-25;2023-09-11;1943;Bank sexmästeriet;;;ICA KVANTUM MALMBORGS K6612;;;2576,17
A912;2023-08-25;2023-09-11;7695;Arbetskostnad;SEX1;;ICA KVANTUM MALMBORGS K6612;;2576,17;
A913;2023-09-05;2023-09-11;1946;Bank nollning;NOL1;;WILLYS LUND K4673;;;2514,89
A913;2023-09-05;2023-09-11;4311;Inköp mat;NOL1;;WILLYS LUND K4673;;2514,89;
A914;2023-08-25;2023-09-11;1943;Bank sexmästeriet;;;Systembolaget K6612 (Retur);;4263,5;
A914;2023-08-25;2023-09-11;4412;Inköp pubdryck;SEX1;;Systembolaget K6612 (Retur);;;4263,5
A915;2023-08-31;2023-09-11;1943;Bank sexmästeriet;;;OOB LUND 115 K7682;;;1037,5
A915;2023-08-31;2023-09-11;4312;Inköp Måltidsdryck;SEX1;;OOB LUND 115 K7682;;60;
A915;2023-08-31;2023-09-11;4321;Inköp varor;SEX1;;OOB LUND 115 K7682;;977,5;
A916;2023-09-04;2023-09-11;1943;Bank sexmästeriet;;;PIZZERIA GOTT OCH NARA K7490;;;1685
A916;2023-09-04;2023-09-11;7695;Arbetskostnad;SEX1;;PIZZERIA GOTT OCH NARA K7490;;1685;
A917;2023-09-11;2023-09-11;4321;Inköp varor;CAF1;;Föset;cafeet säljer varorna till caféfrukosten;;1600
A917;2023-09-11;2023-09-11;4311;Inköp mat;NOL1;;Föset;föset köper varor till caféfrukost;1600;
A918;2023-09-11;2023-09-11;3010;Försäljning;CAF1;;föset;café sålde åt föset;990;
A918;2023-09-11;2023-09-11;3010;Försäljning;NOL1;;föset;;;990
A919;2023-09-12;2023-09-11;1942;Bank café;;;utlägg caf;;;309,7
A919;2023-09-12;2023-09-11;4321;Inköp varor;CAF1;;utlägg caf;;309,7;
A920;2023-09-12;2023-09-11;1942;Bank café;;;Utlägg caf;;;13,7
A920;2023-09-12;2023-09-11;4321;Inköp varor;CAF1;;Utlägg caf;;13,7;
A921;2023-09-12;2023-09-11;1942;Bank café;;;Utlägg caf;;;15,5
A921;2023-09-12;2023-09-11;4321;Inköp varor;CAF1;;Utlägg caf;;15,5;
A922;2023-08-31;2023-09-11;1943;Bank sexmästeriet;;;Systembolaget K6612;;;9961,8
A922;2023-08-31;2023-09-11;4412;Inköp pubdryck;SEX1;;Systembolaget K6612;;9961,8;
A923;2023-09-12;2023-09-11;1942;Bank café;;;Utlägg caf;;;1053,9
A923;2023-09-12;2023-09-11;4321;Inköp varor;CAF1;;Utlägg caf;;1053,9;
A924;2023-09-12;2023-09-11;1942;Bank café;;;Utlägg caf;;;30,5
A924;2023-09-12;2023-09-11;4321;Inköp varor;CAF1;;Utlägg caf;;30,5;
A925;2023-09-01;2023-09-11;1943;Bank sexmästeriet;;;ICA KVANTUM MOBILIA LU K6612;;;1178,95
A925;2023-09-01;2023-09-11;4412;Inköp pubdryck;SEX1;;ICA KVANTUM MOBILIA LU K6612;;1178,95;
A926;2023-08-31;2023-09-11;1944;Bank projekt;;;ICA KVANTUM MALMBORGS K1665;;;71,7
A926;2023-08-31;2023-09-11;4321;Inköp varor;CAF1;;ICA KVANTUM MALMBORGS K1665;;71,7;
A927;2023-09-04;2023-09-11;1943;Bank sexmästeriet;;;ICA KVANTUM MALMBORGS K7682;;;423,2
A927;2023-09-04;2023-09-11;4412;Inköp pubdryck;SEX1;;ICA KVANTUM MALMBORGS K7682;;423,2;
A928;2023-09-04;2023-09-11;1943;Bank sexmästeriet;;;ICA KVANTUM MALMBORGS K7490;;;2342,16
A928;2023-09-04;2023-09-11;7695;Arbetskostnad;SEX1;;ICA KVANTUM MALMBORGS K7490;;1590,46;
A928;2023-09-04;2023-09-11;4412;Inköp pubdryck;SEX1;;ICA KVANTUM MALMBORGS K7490;;388,2;
A928;2023-09-04;2023-09-11;4321;Inköp varor;SEX1;;ICA KVANTUM MALMBORGS K7490;;363,5;
A929;2023-09-06;2023-09-11;1943;Bank sexmästeriet;;;Systembolaget   K6612 (Retur);;1617,1;
A929;2023-09-06;2023-09-11;4412;Inköp pubdryck;SEX1;;Systembolaget   K6612 (Retur);;;1617,1
A930;2023-09-11;2023-09-11;1943;Bank sexmästeriet;;;Utlägg Ljusstakar;;;300
A930;2023-09-11;2023-09-11;4321;Inköp varor;SEX1;;Utlägg Ljusstakar;;300;
A931;2023-09-11;2023-09-11;1943;Bank sexmästeriet;;;Utlägg Ljusstakar;;;200
A931;2023-09-11;2023-09-11;4321;Inköp varor;SEX1;;Utlägg Ljusstakar;;200;
A932;2023-09-11;2023-09-11;1943;Bank sexmästeriet;;;Utlägg Sångis Dräkt;;;659
A932;2023-09-11;2023-09-11;4210;Arrangemangskostnad;SEX1;;Utlägg Sångis Dräkt;;659;
A933;2023-09-11;2023-09-11;1943;Bank sexmästeriet;;;Utlägg Sångis Dräkt;;;699
A933;2023-09-11;2023-09-11;4210;Arrangemangskostnad;SEX1;;Utlägg Sångis Dräkt;;699;
A934;2023-09-11;2023-09-11;1943;Bank sexmästeriet;;;Utlägg Batterier;;;47,9
A934;2023-09-11;2023-09-11;4210;Arrangemangskostnad;SEX1;;Utlägg Batterier;;47,9;
A935;2023-09-04;2023-09-11;1943;Bank sexmästeriet;;;WILLYS LUND K7490;;;1292
A935;2023-09-04;2023-09-11;4311;Inköp mat;SEX1;;WILLYS LUND K7490;;691;
A935;2023-09-04;2023-09-11;7695;Arbetskostnad;SEX1;;WILLYS LUND K7490;;445;
A935;2023-09-04;2023-09-11;4312;Inköp Måltidsdryck;SEX1;;WILLYS LUND K7490;;156;
A936;2023-09-04;2023-09-11;1943;Bank sexmästeriet;;;ICA KVANTUM MALMBORGS K7682;;;59,6
A936;2023-09-04;2023-09-11;4412;Inköp pubdryck;SEX1;;ICA KVANTUM MALMBORGS K7682;;59,6;
A937;2023-08-23;2023-09-11;1943;Bank sexmästeriet;;;PLANTAGEN MALMO K7682;;;3153,4
A937;2023-08-23;2023-09-11;4321;Inköp varor;SEX1;;PLANTAGEN MALMO K7682;;3153,4;
A938;2023-09-06;2023-09-11;1943;Bank sexmästeriet;;;PLANTAGEN LUND  K7682 (Retur);;349,2;
A938;2023-09-06;2023-09-11;4321;Inköp varor;SEX1;;PLANTAGEN LUND  K7682 (Retur);;;349,2
A939;2023-09-01;2023-09-11;1943;Bank sexmästeriet;;;AXFOOD SNABBGROSS K9173;;;17266,83
A939;2023-09-01;2023-09-11;4311;Inköp mat;SEX1;;AXFOOD SNABBGROSS K9173;;17266,83;
A940;2023-09-04;2023-09-11;1943;Bank sexmästeriet;;;ICA KVANTUM MALMBORGS K9173;;;810
A940;2023-09-04;2023-09-11;4311;Inköp mat;SEX1;;ICA KVANTUM MALMBORGS K9173;;810;
A941;2023-09-04;2023-09-11;1943;Bank sexmästeriet;;;ICA KVANTUM MALMBORGS K9173;;;1620
A941;2023-09-04;2023-09-11;4311;Inköp mat;SEX1;;ICA KVANTUM MALMBORGS K9173;;1620;
A942;2023-09-11;2023-09-11;1941;Bank F;;;FlyING Tågresa;;;87,75
A942;2023-09-11;2023-09-11;5822;Hyra av transport/fordon;NOL1;;FlyING Tågresa;;87,75;
A943;2023-08-23;2023-09-11;1943;Bank sexmästeriet;;;OOB LUND 115    K7682 ;;;1458,5
A943;2023-08-23;2023-09-11;4321;Inköp varor;SEX1;;OOB LUND 115    K7682 ;;1458,5;
A944;2023-08-30;2023-09-11;1943;Bank sexmästeriet;;;OOB LUND 115 K7682 (Retur);;711;
A944;2023-08-30;2023-09-11;4321;Inköp varor;SEX1;;OOB LUND 115 K7682 (Retur);;;711
A945;2023-08-30;2023-09-19;4321;Inköp varor;CAF1;;föset;föset köper ingefära och vitlök från  cafe;;120
A945;2023-08-30;2023-09-19;4311;Inköp mat;NOL1;;föset;;120;
A946;2023-09-11;2023-09-11;4321;Inköp varor;CAF1;;föset;föset köpte soja;;46,82
A946;2023-09-11;2023-09-11;4311;Inköp mat;NOL1;;föset;;46,82;
A947;2023-09-11;2023-09-11;1941;Bank F;;;HemsidaAvgift;;;485
A947;2023-09-11;2023-09-11;5240;Domänkostnader;SAN1;;HemsidaAvgift;;485;
A948;2023-07-18;2023-09-11;1943;Bank sexmästeriet;;;Sockervaddsmaskin;;;1375
A948;2023-07-18;2023-09-11;5221;Hyra inventarier;SEX1;;Sockervaddsmaskin;;1375;
A949;2023-09-11;2023-09-11;1941;Bank F;;;Utefotboll;;;1800
A949;2023-09-11;2023-09-11;6980;Föreningsavgifter;KUL2;;Utefotboll;;1800;
A950;2023-09-11;2023-09-11;1941;Bank F;;;Innefotboll;;;1800
A950;2023-09-11;2023-09-11;6980;Föreningsavgifter;KUL2;;Innefotboll;;1800;
A951;2023-09-11;2023-09-11;1942;Bank café;;;Overaller;;;108800
A951;2023-09-11;2023-09-11;4331;Inköp overaller;PRY1;;Overaller;;108800;
A952;2023-09-11;2023-09-11;1941;Bank F;;;Märken;;;9403
A952;2023-09-11;2023-09-11;4321;Inköp varor;PRY1;;Märken;;9403;
A953;2023-09-05;2023-09-15;1942;Bank café;;;Zettle Komplett Lp1 Lv1;;258674;
A953;2023-09-05;2023-09-15;1942;Bank café;;;Zettle Komplett Lp1 Lv1;;;5197,82
A953;2023-09-05;2023-09-15;6571;Transaktionsavgifter;ADM1;;Zettle Komplett Lp1 Lv1;;5197,82;
A953;2023-09-05;2023-09-15;3010;Försäljning;SEX1;;Zettle Komplett Lp1 Lv1;;;22920
A953;2023-09-05;2023-09-15;3010;Försäljning;KUL1;;Zettle Komplett Lp1 Lv1;;;6921
A953;2023-09-05;2023-09-15;3110;Biljetter;KUL1;;Zettle Komplett Lp1 Lv1;;;5550
A953;2023-09-05;2023-09-15;3010;Försäljning;PRY1;;Zettle Komplett Lp1 Lv1;;;39467
A953;2023-09-05;2023-09-15;3121;Dryckesförsäljning;SEX1;;Zettle Komplett Lp1 Lv1;;;18300
A953;2023-09-05;2023-09-15;3110;Biljetter;SEX1;;Zettle Komplett Lp1 Lv1;;;32370
A953;2023-09-05;2023-09-15;3010;Försäljning;NOL1;;Zettle Komplett Lp1 Lv1;;;10375
A953;2023-09-05;2023-09-15;3004;Externa intäkt ;NOL1;;Zettle Komplett Lp1 Lv1;;;60404
A953;2023-09-05;2023-09-15;3110;Biljetter;NOL1;;Zettle Komplett Lp1 Lv1;;;13390
A953;2023-09-05;2023-09-15;3010;Försäljning;CAF1;;Zettle Komplett Lp1 Lv1;;;48977
A954;2023-09-12;2023-09-12;1941;Bank F;;;Sonnarp;;;19725
A954;2023-09-12;2023-09-12;5222;Hyra lokal;NOL1;;Sonnarp;;19725;
A955;2023-09-12;2023-09-12;1941;Bank F;;;FlyING bussar;;;7371
A955;2023-09-12;2023-09-12;5822;Hyra av transport/fordon;NOL1;;FlyING bussar;;7371;
A956;2023-09-12;2023-09-12;1941;Bank F;;;Mantelbrodyr;;;3413
A956;2023-09-12;2023-09-12;5480;Arbetskläder;NOL1;;Mantelbrodyr;;3413;
A957;2023-09-18;2023-09-15;1942;Bank café;;;Utlägg caf;;;636,5
A957;2023-09-18;2023-09-15;4321;Inköp varor;CAF1;;Utlägg caf;;636,5;
A958;2023-09-18;2023-09-15;1942;Bank café;;;Utlägg caf;;;352
A958;2023-09-18;2023-09-15;4321;Inköp varor;CAF1;;Utlägg caf;;352;
A959;2023-09-18;2023-09-15;1942;Bank café;;;Utlägg caf;;;58,7
A959;2023-09-18;2023-09-15;4321;Inköp varor;CAF1;;Utlägg caf;;58,7;
A960;2023-09-18;2023-09-15;1942;Bank café;;;Utlägg caf;;;48,9
A960;2023-09-18;2023-09-15;4321;Inköp varor;CAF1;;Utlägg caf;;48,9;
A961;2023-09-01;2023-09-15;1944;Bank projekt;;;ICA KVANTUM MALMBORGS K1665;;;64,37
A961;2023-09-01;2023-09-15;4321;Inköp varor;CAF1;;ICA KVANTUM MALMBORGS K1665;;64,37;
A962;2023-05-15;2023-09-15;1944;Bank projekt;;;SYSTER JAKOBS K1665;;;351
A962;2023-05-15;2023-09-15;7695;Arbetskostnad;CAF1;;SYSTER JAKOBS K1665;;351;
A963;2023-05-15;2023-09-15;1944;Bank projekt;;;ICA KVANTUM MALMBORGS K1665;;;79,7
A963;2023-05-15;2023-09-15;7695;Arbetskostnad;CAF1;;ICA KVANTUM MALMBORGS K1665;;79,7;
A964;2023-09-01;2023-09-20;1944;Bank projekt;;;ICA KVANTUM MALMBORGS K1665;;;399,48
A964;2023-09-01;2023-09-20;4321;Inköp varor;CAF1;;ICA KVANTUM MALMBORGS K1665;;399,48;
A965;2023-09-04;2023-09-15;1944;Bank projekt;;;ICA KVANTUM MALMBORGS K1665;;;126,86
A965;2023-09-04;2023-09-15;4321;Inköp varor;CAF1;;ICA KVANTUM MALMBORGS K1665;;126,86;
A966;2023-09-04;2023-09-15;1944;Bank projekt;;;ICA KVANTUM MALMBORGS K1665;;;52,12
A966;2023-09-04;2023-09-15;4321;Inköp varor;CAF1;;ICA KVANTUM MALMBORGS K1665;;52,12;
A967;2023-09-04;2023-09-15;1942;Bank café;;;SC1310427284;;;19264
A967;2023-09-04;2023-09-15;4321;Inköp varor;CAF1;;SC1310427284;;16286,05;
A967;2023-09-04;2023-09-15;5460;Förbrukningsmaterial;CAF1;;SC1310427284;;2977,95;
A968;2023-09-08;2023-09-15;1942;Bank café;;;SC1310427792;;;8259
A968;2023-09-08;2023-09-15;4314;Inköp kaffe;CAF1;;SC1310427792;;966,6;
A968;2023-09-08;2023-09-15;4321;Inköp varor;CAF1;;SC1310427792;;6544,35;
A968;2023-09-08;2023-09-15;5460;Förbrukningsmaterial;CAF1;;SC1310427792;;748,05;
A969;2023-09-11;2023-09-15;1942;Bank café;;;SC1310427843;;;835
A969;2023-09-11;2023-09-15;4321;Inköp varor;CAF1;;SC1310427843;;835;
A970;2023-09-11;2023-09-15;1942;Bank café;;;SC1310428286;;;13655
A970;2023-09-11;2023-09-15;4314;Inköp kaffe;CAF1;;SC1310428286;;3866,42;
A970;2023-09-11;2023-09-15;5460;Förbrukningsmaterial;CAF1;;SC1310428286;;68,6;
A970;2023-09-11;2023-09-15;4321;Inköp varor;CAF1;;SC1310428286;;9719,98;
A971;2023-09-15;2023-09-15;1942;Bank café;;;SC1310428286;;;9885
A971;2023-09-15;2023-09-15;5460;Förbrukningsmaterial;CAF1;;SC1310428286;;675,88;
A971;2023-09-15;2023-09-15;4321;Inköp varor;CAF1;;SC1310428286;;9209,12;
A972;2023-09-15;2023-09-29;1942;Bank café;;;8,31397E+13;;;50000
A972;2023-09-15;2023-09-29;1943;Bank sexmästeriet;;;8,31397E+13;;50000;
A973;2023-09-18;2023-09-17;1942;Bank café;;;Internöverföring;;;90000
A973;2023-09-18;2023-09-17;1946;Bank nollning;;;Internöverföring;;90000;
A974;2023-09-12;2023-09-18;1941;Bank F;;;Kundbet FREJA (1898);;75;
A974;2023-09-12;2023-09-18;1610;Fordringar;;;Kundbet FREJA (1898);;;75
A975;2023-09-11;2023-09-18;1941;Bank F;;;Kundbet Eric Hansson (1891);;250;
A975;2023-09-11;2023-09-18;1610;Fordringar;;;Kundbet Eric Hansson (1891);;;250
A976;2023-09-11;2023-09-18;1941;Bank F;;;Kundbet Nils Thorin (1883);;175;
A976;2023-09-11;2023-09-18;1610;Fordringar;;;Kundbet Nils Thorin (1883);;;175
A977;2023-09-11;2023-09-18;1941;Bank F;;;Kundbet Nils Thorin (1881);;150;
A977;2023-09-11;2023-09-18;1610;Fordringar;;;Kundbet Nils Thorin (1881);;;150
A978;2023-09-11;2023-09-18;1941;Bank F;;;Kundbet Pedell (1888);;250;
A978;2023-09-11;2023-09-18;1610;Fordringar;;;Kundbet Pedell (1888);;;250
A979;2023-09-08;2023-09-18;1941;Bank F;;;Kundbet KFS i Lund Aktiebolag (1791);;1000;
A979;2023-09-08;2023-09-18;1610;Fordringar;;;Kundbet KFS i Lund Aktiebolag (1791);;;1000
A980;2023-09-06;2023-09-18;1941;Bank F;;;Kundbet Cygni (1897);;33000;
A980;2023-09-06;2023-09-18;1610;Fordringar;;;Kundbet Cygni (1897);;;33000
A981;2023-09-05;2023-09-18;1941;Bank F;;;Kundbet Rebecca Jungåker (1885);;155;
A981;2023-09-05;2023-09-18;1610;Fordringar;;;Kundbet Rebecca Jungåker (1885);;;155
A982;2023-09-05;2023-09-18;1941;Bank F;;;Kundbet Rebecca Jungåker (1880);;585;
A982;2023-09-05;2023-09-18;1610;Fordringar;;;Kundbet Rebecca Jungåker (1880);;;585
A983;2023-08-30;2023-09-18;1941;Bank F;;;Kundbet Tore Friberg (1886);;150;
A983;2023-08-30;2023-09-18;1610;Fordringar;;;Kundbet Tore Friberg (1886);;;150
A984;2023-08-18;2023-09-18;1941;Bank F;;;Kundbet ARM Sweden AB (1895);;4500;
A984;2023-08-18;2023-09-18;1610;Fordringar;;;Kundbet ARM Sweden AB (1895);;;4500
A985;2023-08-15;2023-09-18;1941;Bank F;;;Kundbet Vilma Larsson (1879);;215;
A985;2023-08-15;2023-09-18;1610;Fordringar;;;Kundbet Vilma Larsson (1879);;;215
A986;2023-08-15;2023-09-18;1941;Bank F;;;Kundbet Vilma Larsson (1872);;365;
A986;2023-08-15;2023-09-18;1610;Fordringar;;;Kundbet Vilma Larsson (1872);;;365
A987;2023-08-14;2023-09-18;1941;Bank F;;;Kundbet Charles van Amersfoort (1892);;250;
A987;2023-08-14;2023-09-18;1610;Fordringar;;;Kundbet Charles van Amersfoort (1892);;;250
A988;2023-08-14;2023-09-18;1941;Bank F;;;Kundbet Cajsa Thulin (1887);;150;
A988;2023-08-14;2023-09-18;1610;Fordringar;;;Kundbet Cajsa Thulin (1887);;;150
A989;2023-02-28;2023-09-18;1941;Bank F;;;Kundbet Mathilda Moberg (1818);;225;
A989;2023-02-28;2023-09-18;1610;Fordringar;;;Kundbet Mathilda Moberg (1818);;;225
A990;2023-09-19;2023-09-19;1942;Bank café;;;Internöverföring;;;200000
A990;2023-09-19;2023-09-19;1941;Bank F;;;Internöverföring;;200000;
A991;2023-09-12;2023-09-20;1942;Bank café;;;Zettle Komplett Lp1 Lv2;;178671;
A991;2023-09-12;2023-09-20;1942;Bank café;;;Zettle Komplett Lp1 Lv2;;;2889,03
A991;2023-09-12;2023-09-20;6571;Transaktionsavgifter;ADM1;;Zettle Komplett Lp1 Lv2;;2889,03;
A991;2023-09-12;2023-09-20;3010;Försäljning;CAF1;;Zettle Komplett Lp1 Lv2;;;37722
A991;2023-09-12;2023-09-20;3004;Externa intäkt ;NOL1;;Zettle Komplett Lp1 Lv2;;;440
A991;2023-09-12;2023-09-20;3010;Försäljning;NOL1;;Zettle Komplett Lp1 Lv2;;;120529
A991;2023-09-12;2023-09-20;3110;Biljetter;NOL1;;Zettle Komplett Lp1 Lv2;;;19980
A992;2023-09-19;2023-09-19;1943;Bank sexmästeriet;;;Utlägg Pub Hov;;;149,5
A992;2023-09-19;2023-09-19;4321;Inköp varor;SEX1;;Utlägg Pub Hov;;149,5;
A993;2023-09-18;2023-09-19;1943;Bank sexmästeriet;;;PIZZERIA GOTT OCH NARA K7490;;;760
A993;2023-09-18;2023-09-19;7695;Arbetskostnad;SEX1;;PIZZERIA GOTT OCH NARA K7490;;760;
A994;2023-09-18;2023-09-19;1943;Bank sexmästeriet;;;Systembolaget   K6612;;;480
A994;2023-09-18;2023-09-19;4412;Inköp pubdryck;SEX1;;Systembolaget   K6612;;480;
A995;2023-09-18;2023-09-19;1943;Bank sexmästeriet;;;ICA KVANTUM MALMBORGS K7490;;;924,84
A995;2023-09-18;2023-09-19;7695;Arbetskostnad;SEX1;;ICA KVANTUM MALMBORGS K7490;;924,84;
A996;2023-09-18;2023-09-19;1943;Bank sexmästeriet;;;Systembolaget   K6612;;;7991,6
A996;2023-09-18;2023-09-19;4412;Inköp pubdryck;SEX1;;Systembolaget   K6612;;7991,6;
A997;2023-09-19;2023-09-19;1941;Bank F;;;Faddergruppsmat;;;775
A997;2023-09-19;2023-09-19;4311;Inköp mat;NOL1;;Faddergruppsmat;;775;
A998;2023-09-19;2023-09-20;1946;Bank nollning;NOL1;;KFS I LUND AB K9075;;;87349
A998;2023-09-19;2023-09-20;4321;Inköp varor;NOL1;;KFS I LUND AB K9075;;87349;
A999;2023-09-11;2023-09-19;1946;Bank nollning;NOL1;;WILLYS LUND K9075;;;186,2
A999;2023-09-11;2023-09-19;4311;Inköp mat;NOL1;;WILLYS LUND K9075;;186,2;
A1000;2023-09-11;2023-09-19;1946;Bank nollning;NOL1;;AXFOOD SNABBGROSS K9075;;;18624,61
A1000;2023-09-11;2023-09-19;4311;Inköp mat;NOL1;;AXFOOD SNABBGROSS K9075;;18624,61;
A1001;2023-09-11;2023-09-19;1946;Bank nollning;NOL1;;BILTEMA SWEDEN LUND K9075;;;1675
A1001;2023-09-11;2023-09-19;5460;Förbrukningsmaterial;NOL1;;BILTEMA SWEDEN LUND K9075;;1675;
A1002;2023-07-12;2023-09-19;1946;Bank nollning;NOL1;;POLISEN WEBKOP K9075;;;870
A1002;2023-07-12;2023-09-19;6950;Avgift till myndighet;NOL1;;POLISEN WEBKOP K9075;;870;
A1003;2023-09-18;2023-10-02;1946;Bank nollning;NOL1;;Systembolaget K4673;;;9722,4
A1003;2023-09-18;2023-10-02;4412;Inköp pubdryck;NOL1;;Systembolaget K4673;;9722,4;
A1004;2023-09-18;2023-09-19;1946;Bank nollning;NOL1;;STORA COOP LUND K4673;;;1677,98
A1004;2023-09-18;2023-09-19;4311;Inköp mat;NOL1;;STORA COOP LUND K4673;;1677,98;
A1005;2023-09-14;2023-09-19;1946;Bank nollning;NOL1;;ICA KVANTUM MALMBORGS K4673;;;100
A1005;2023-09-14;2023-09-19;4311;Inköp mat;NOL1;;ICA KVANTUM MALMBORGS K4673;;100;
