Vernr;Bokföringsdatum;Registreringsdatum;Konto;Benämning;Ks;Projnr;Verifikationstext;Transaktionsinfo;Debet;Kredit
A507;2023-04-05;2023-05-05;5460;Förbrukningsmaterial;CAF1;;WILLYS LUND K3659;Pappkasse;3,9;
A507;2023-04-05;2023-05-05;4321;Inköp varor;CAF1;;WILLYS LUND K3659;;148,15;
A508;2023-05-08;2023-05-05;1942;Bank café;;;Utlägg caf;;;183,4
A508;2023-05-08;2023-05-05;4321;Inköp varor;CAF1;;Utlägg caf;;183,4;
A509;2023-04-04;2023-05-05;1942;Bank café;;;Zettle Café Lv2 Lp4;;24448;
A509;2023-04-04;2023-05-05;3010;Försäljning;CAF1;;Zettle Café Lv2 Lp4;;;24448
A510;2023-04-12;2023-05-05;1942;Bank café;;;Zettle Café Lv3 Lp4;;15846;
A510;2023-04-12;2023-05-05;3010;Försäljning;CAF1;;Zettle Café Lv3 Lp4;;;15846
A511;2023-03-20;2023-05-07;1943;Bank sexmästeriet;;;Internöverföring;;;12689
A511;2023-03-20;2023-05-07;1941;Bank F;;;Internöverföring;;12689;
A512;2023-03-28;2023-05-07;1943;Bank sexmästeriet;;;8,31397E+13;;7500;
A512;2023-03-28;2023-05-07;1941;Bank F;;;8,31397E+13;;;7500
A513;2023-03-29;2023-05-07;1943;Bank sexmästeriet;;;WILLYS LUND K7682;;;830
A513;2023-03-29;2023-05-07;4321;Inköp varor;SEX1;;WILLYS LUND K7682;;830;
A514;2023-04-03;2023-05-07;1941;Bank F;;;8,31397E+13;;;1
A514;2023-04-03;2023-05-07;1943;Bank sexmästeriet;;;8,31397E+13;;1;
A515;2023-04-12;2023-05-07;1941;Bank F;;;8,31397E+13;;;1400
A515;2023-04-12;2023-05-07;1943;Bank sexmästeriet;;;8,31397E+13;;1400;
A516;2023-04-12;2023-05-07;1943;Bank sexmästeriet;;;Tillstånd Temasläpp;;;1400
A516;2023-04-12;2023-05-07;6950;Avgift till myndighet;SEX1;;Tillstånd Temasläpp;;1400;
A517;2023-04-24;2023-05-07;1941;Bank F;;;8,31397E+13;;;5000
A517;2023-04-24;2023-05-07;1943;Bank sexmästeriet;;;8,31397E+13;;5000;
A518;2023-04-25;2023-06-09;1943;Bank sexmästeriet;;;PIZZERIA GOTT OCH NARA K9173;;;3950
A518;2023-04-25;2023-06-09;4180;Terminsmöteskostnad;ADM1;;PIZZERIA GOTT OCH NARA K9173;;3950;
A519;2023-04-25;2023-05-07;1941;Bank F;;;8,31397E+13;;;4000
A519;2023-04-25;2023-05-07;1943;Bank sexmästeriet;;;8,31397E+13;;4000;
A520;2023-04-26;2023-06-09;1943;Bank sexmästeriet;;;PIZZERIA GOTT OCH NARA K6612;;;3950
A520;2023-04-26;2023-06-09;4180;Terminsmöteskostnad;ADM1;;PIZZERIA GOTT OCH NARA K6612;;3950;
A521;2023-05-02;2023-05-07;1941;Bank F;;;8,31397E+13;;;2000
A521;2023-05-02;2023-05-07;1943;Bank sexmästeriet;;;8,31397E+13;;2000;
A522;2023-05-03;2023-05-07;1941;Bank F;;;8,31397E+13;;;19000
A522;2023-05-03;2023-05-07;1943;Bank sexmästeriet;;;8,31397E+13;;19000;
A523;2023-05-03;2023-09-25;1942;Bank café;;;Zettle Avgift Lv4 Lp4;;;1103,74
A523;2023-05-03;2023-09-25;1942;Bank café;;;Zettle Avgift Lv4 Lp4;;625;
A523;2023-05-03;2023-09-25;6571;Transaktionsavgifter;ADM1;;Zettle Avgift Lv4 Lp4;Arriver betala sin egen avgift;;625
A523;2023-05-03;2023-09-25;6571;Transaktionsavgifter;ADM1;;Zettle Avgift Lv4 Lp4;;1103,74;
A524;2023-05-03;2023-05-10;1942;Bank café;;;Zettle Kultur Lv4 Lp4;;1470;
